RA,Dec,i,S 24 (μJy),S 250 (mJy),S 350 (mJy),S 500 (mJy),Z phot,Type,Chi,n bands,Z subm,Z comb,M * log(M sol.),SFR log(M sol. yr−1),field
159.03456,58.44533,21.37,1127.8,131.6,84.2,42.2,1.44,Scd,4.8,4,1.16,1.19,11.62,3.89,Lockman-SWIRE
160.50839,58.67179,23.49,904.6,95.7,79.5,60.5,3.81,Sab,4.1,6,2.86,3.07,12.02,3.99,Lockman-SWIRE
160.51041,58.67371,,,,,,1.08,,,,,,,3.05,Lockman-SWIRE
161.98271,58.07477,22.1,264.4,44.2,45.3,33.6,4.13,sb,25.4,6,3.15,3.68,11.87,3.76,Lockman-SWIRE
162.33324,58.10657,22.61,516.4,56.9,52.9,59.6,2.8,Scd,6.1,8,4.09,2.89,11.69,3.72,Lockman-SWIRE
160.9194,57.91475,22.32,682.3,116.5,102.0,65.4,3.06,Sab,20.5,6,2.56,2.8,12.5,4.12,Lockman-SWIRE
162.38754,57.70547,g = 24.13,519.3,65.7,65.0,56.3,3.37,Scd,1.6,3,3.47,3.37,12.15,3.74,Lockman-SWIRE
162.46065,58.11701,21.96,252.5,,28.4,41.4,4.06,sb (QSO?),7.9,6,4.81,4.13,11.97,3.98,Lockman-SWIRE
164.52054,58.30782,23.4,306.9,81.9,92.1,58.2,4.18,Sab,0.03,3,2.16,3.07,12.4,3.99,Lockman-SWIRE
164.52888,58.30814,,,,,,1.87,,,,,,,3.35,Lockman-SWIRE
161.89894,58.16401,23.6,315.0,66.4,59.7,35.3,4.37,Sab,22.7,4,1.82,2.89,12.32,3.97,Lockman-SWIRE
162.4229,57.1875,22.25,121.0,43.5,46.1,32.6,4.45,sb (QSO?),5.6,4,3.22,4.37,11.79,3.78,Lockman-SWIRE
164.64154,58.09799,20.95,1386.3,44.9,45.4,28.0,3.37,QSO,2.1,11,2.01,3.07,,3.71,Lockman-SWIRE
164.64879,58.09513,,,,,,1.11,,,,,,,2.74,Lockman-SWIRE
162.77605,58.52327,22.32,184.6,54.5,53.0,41.1,3.47,QSO,3.2,8,3.19,3.37,,3.71,Lockman-SWIRE
161.8541,57.91928,21.11,245.8,76.1,80.3,65.3,3.49,QSO,1.3,10,3.42,3.47,,3.86,Lockman-SWIRE
162.20728,58.28162,21.59,205.5,56.6,57.7,40.3,3.61,QSO,8.5,10,3.14,3.37,,3.83,Lockman-SWIRE
161.36092,58.03157,20.67,428.6,,37.5,41.2,3.81,QSO,5.2,11,5.05,3.9,,3.83,Lockman-SWIRE
162.6812,57.55606,g = 24.35,194.9,25.5,37.0,38.3,4.5,QSO,1.3,3,4.79,4.5,,3.79,Lockman-SWIRE
162.9173,58.80596,22.03,1964.8,183.8,133.1,78.7,2.06,Sab,45.6,6,2.11,2.09,12.22,3.81,Lockman-SWIRE
161.75087,59.01883,23.66,1329.6,75.0,61.0,40.6,2.562,Scd,1.7,7,2.53,,11.78,3.7,Lockman-SWIRE
160.33716,59.40493,22.36,1225.7,,36.8,39.0,3.29,Scd,6.7,6,4.93,3.27,12.08,3.71,Lockman-SWIRE
159.78395,58.55888,g = 24.41,231.6,35.3,39.9,36.7,3.72,Sdm,0.0,3,3.91,3.68,11.32,3.79,Lockman-SWIRE
160.85139,58.02007,23.22,443.7,43.1,61.2,37.4,3.92,Sbc,2.6,5,2.24,3.37,12.21,3.94,Lockman-SWIRE
164.28366,58.43524,22.3,596.0,43.5,51.0,37.4,4.15,Scd,60.0,5,2.46,3.79,12.06,4.14,Lockman-SWIRE
164.28227,58.43064,,,,,,0.2,,,,,,,0.4,Lockman-SWIRE
161.63013,59.17688,23.94,391.4,,29.6,27.0,5.19,Scd,4.8,4,3.05,4.75,12.11,4.22,Lockman-SWIRE
