RA,Dec,help_id,status
159.03456,58.44533,HELP_J103608.299+582643.243,--------------------------------------------------
160.50839,58.67179,------------------------------,--------------------------------------------------
160.51041,58.67371,------------------------------,[&#9745;](./output/Lockman-SWIRE/fit_3.md)
161.98271,58.07477,------------------------------,--------------------------------------------------
162.33324,58.10657,------------------------------,--------------------------------------------------
160.9194,57.91475,------------------------------,--------------------------------------------------
162.38754,57.70547,------------------------------,--------------------------------------------------
162.46065,58.11701,HELP_J104950.514+580701.715,--------------------------------------------------
164.52054,58.30782,HELP_J105804.897+581828.350,[&#9744;](./output/Lockman-SWIRE/fit_9.md)
164.52888,58.30814,------------------------------,--------------------------------------------------
161.89894,58.16401,HELP_J104735.697+580949.921,[&#9744;](./output/Lockman-SWIRE/fit_11.md)
162.4229,57.1875,------------------------------,--------------------------------------------------
164.64154,58.09799,------------------------------,--------------------------------------------------
164.64879,58.09513,------------------------------,--------------------------------------------------
162.77605,58.52327,------------------------------,--------------------------------------------------
161.8541,57.91928,------------------------------,--------------------------------------------------
162.20728,58.28162,------------------------------,--------------------------------------------------
161.36092,58.03157,------------------------------,[&#9744;](./output/Lockman-SWIRE/fit_18.md)
162.6812,57.55606,HELP_J105043.493+573321.826,--------------------------------------------------
162.9173,58.80596,------------------------------,--------------------------------------------------
161.75087,59.01883,------------------------------,--------------------------------------------------
160.33716,59.40493,------------------------------,--------------------------------------------------
159.78395,58.55888,------------------------------,--------------------------------------------------
160.85139,58.02007,------------------------------,--------------------------------------------------
164.28366,58.43524,------------------------------,--------------------------------------------------
164.28227,58.43064,------------------------------,--------------------------------------------------
161.63013,59.17688,HELP_J104631.170+591036.829,[&#9745;](./output/Lockman-SWIRE/fit_27.md)
