RA,Dec,i,S 24 (μJy),S 250 (mJy),S 350 (mJy),S 500 (mJy),Z phot,Type,Chi,n bands,Z subm,Z comb,M * log(M sol.),SFR log(M sol. yr−1)
33.711,-4.17344,22.53,1016.3,96.2,69,32.5,1.47,Scd,9.3,6,1.92,1.57,11.8,3.81
162.9173,58.80596,22.03,1964.8,183.8,133.1,78.7,2.06,Sab,45.6,6,2.11,2.09,12.22,3.81
161.75087,59.01883,23.66,1329.6,75,61,40.6,2.562,Scd,1.7,7,2.53,,11.78,3.7
35.95578,-5.08144,23.85,1002.1,71.2,77.6,59.5,3.15,Sab,7.3,5,3.32,3.27,11.91,3.8
10.23271,-44.07592,R = 21.50,487,75.3,68.1,45.7,3.29,sb,13.3,5,2.67,3.07,11.75,3.77
160.33716,59.40493,22.36,1225.7,,36.8,39,3.29,Scd,6.7,6,4.93,3.27,12.08,3.71
36.15258,-5.1025,24.92,627.2,43.5,53.7,41.5,3.37,Sab,2,5,3.6,3.47,11.69,3.71
159.78395,58.55888,g = 24.41,231.6,35.3,39.9,36.7,3.72,Sdm,0,3,3.91,3.68,11.32,3.79
36.9684,-5.02193,24.92,610.3,40.4,47.8,39.3,3.79,Sab,7.5,6,3.66,3.79,11.79,3.94
160.85139,58.02007,23.22,443.7,43.1,61.2,37.4,3.92,Sbc,2.6,5,2.24,3.37,12.21,3.94
35.92307,-4.73225,25.55,849.5,48.5,59.5,45.3,3.94,Sab,2.9,5,3.56,3.57,12.12,3.83
164.28366,58.43524,22.3,596,43.5,51,37.4,4.15,Scd,60,5,2.46,3.79,12.06,4.14
164.28227,58.43064,,,,,,0.2,,,,,,,0.4
161.63013,59.17688,23.94,391.4,,29.6,27,5.19,Scd,4.8,4,3.05,4.75,12.11,4.22
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
