RA,Dec,i,S 24 (μJy),S 250 (mJy),S 350 (mJy),S 500 (mJy),Z phot,Type,Chi,n bands,Z subm,Z comb,M * log(M sol.),SFR log(M sol. yr−1),field
35.28232,-4.149,g = 25.31,636.1,53.7,58.3,55.1,3.27,Sab,2.4,4,3.84,2.8,11.28,3.7,XMM-LSS
35.28037,-4.14839,,,,,,2.55,,,,,,,3.59,XMM-LSS
36.59817,-4.56164,25.11,389.5,59.3,67.2,54.7,3.88,Sab,2.1,5,3.53,3.68,11.49,3.85,XMM-LSS
36.71948,-3.96377,25.18,322.8,43.4,42.8,32.1,3.57,Sbc,5.2,5,3.1,3.27,12.21,3.7,XMM-LSS
35.73369,-5.62305,23.42,422.0,73.1,60.9,42.1,4.11,Sbc,4.1,6,2.61,2.8,12.38,4.1,XMM-LSS
36.10986,-4.45889,24.59,828.6,88.4,89.5,67.0,3.92,Sab,2.0,5,3.14,3.27,12.26,4.21,XMM-LSS
36.65871,-4.14628,24.91,288.8,46.1,45.7,48.1,4.4,Sbc,2.1,6,3.92,4.01,12.2,4.03,XMM-LSS
33.711,-4.17344,22.53,1016.3,96.2,69.0,32.5,1.47,Scd,9.3,6,1.92,1.57,11.8,3.81,XMM-LSS
35.95578,-5.08144,23.85,1002.1,71.2,77.6,59.5,3.15,Sab,7.3,5,3.32,3.27,11.91,3.8,XMM-LSS
36.15258,-5.1025,24.92,627.2,43.5,53.7,41.5,3.37,Sab,2.0,5,3.6,3.47,11.69,3.71,XMM-LSS
36.9684,-5.02193,24.92,610.3,40.4,47.8,39.3,3.79,Sab,7.5,6,3.66,3.79,11.79,3.94,XMM-LSS
35.92307,-4.73225,25.55,849.5,48.5,59.5,45.3,3.94,Sab,2.9,5,3.56,3.57,12.12,3.83,XMM-LSS
